municipio;codigo_municipio;gentilico;prefeito_2017;area;populacao;densidade_demografica_2010;escolaridade_2010;idh_municipal_2010;mortalidade_infantil_mortes_por_mil_nascimentos_2017;receitas_realizadas_reais_x_mil_2017;despesas_empenhadas_reais_x_mil_2017;pib_per_capita_reais_2017
Magé;3302502;mageense;RAFAEL SANTOS DE SOUZA;390,775;245071;585,13;97,7;0,709;13,25;443815,4811;447218,0206;16240,43
Mangaratiba;3302601;mangaratibano;ALAN CAMPOS DA COSTA;367,816;44468;102,29;96,7;0,753;9,01;301823,5876;272530,5362;84853,61
Maricá;3302700;maricaense;FABIANO TAQUES HORTA;361,572;161207;351,55;96,4;0,765;13,84;1203483,638;946012,8412;74760,02
Mendes;3302809;mendense;ROGÉRIO RIENTE;95,324;18614;184,83;99,3;0,736;9,9;64660,86934;53547,31787;16524,39
Mesquita;3302858;mesquitnese;JORGE LUCIO FERREIRA MIRANDA;41,169;176103;4310,48;97,9;0,737;13,32;253623,6815;268065,5862;13505,21
Miguel Pereira;3302908;miguelense;ANDRE PINTO DE AFONSECA;287,933;25538;85,21;98,6;0,745;9,35;106192,5863;93976,29358;26288,23
Miracema;3303005;miracemense;CLOVIS TOSTES DE BARROS;303,27;27174;88,15;97,5;0,713;11,3;90834,10025;85542,7762;18453,63
Natividade;3303104;natividadense;SEVERIANO ANTÔNIO DOS SANTOS REZENDE;387,073;15317;39;98,6;0,73;11,17;70014,94738;64357,39468;16455,89
Nilópolis;3303203;nilopolitano;FARID ABRÃO DAVID;19,393;162485;8117,62;96,7;0,753;21,81;301803,894;293685,3251;16698,88
Niterói;3303302;niteroiense;RODRIGO NEVES BARRETO;133,757;513584;3640,8;97;0,837;9,63;2767516,395;2462638,231;55049,66
Nova Friburgo;3303401;friburguense;RENATO PINHEIRO BRAVO;935,429;190631;195,07;98,7;0,745;11,3;465474,0341;417390,4411;27048,7
Nova Iguaçu;3303500;iguaçuano;ROGERIO MARTINS LISBOA;520,581;821128;1527,6;96,2;0,713;14,96;1389627,362;1415601,639;21077,7
Paracambi;3303609;paracambiense;LUCIMAR CRISTINA DA SILVA FERREIRA;190,949;52257;262,27;96,1;0,72;15,07;124289,9222;109450,5525;17699,45
Paraíba do Sul;3303708;sul-paraibano;ALESSANDRO CRONGE BOUZADA;571,118;44285;70,77;98,6;0,702;21,51;113471,063;110489,4085;21691,6
Paraty;3303807;paratiense;CARLOS JOSÉ GAMA MIRANDA;924,296;43165;40,57;93,8;0,693;1,6;217654,6046;211378,4671;38364,52
Paty do Alferes;3303856;patiense;EURICO PINHEIRO BERNARDES NETO;314,341;27769;82,68;97,7;0,671;19,61;94832,45755;71473,40868;19768,22
Petrópolis;3303906;petropolitano;BERNARDO CHIM ROSSI;791,144;306191;371,85;97,4;0,745;10,97;997314,7186;943864,5237;42958,85
Pinheiral;3303955;pinheiralense;EDNARDO BARBOSA OLIVEIRA;82,254;25156;296,86;96,7;0,715;12,35;82483,14409;78865,22006;16850,53
Piraí;3304003;piraiense;LUIZ ANTONIO DA SILVA NEVES;490,255;29277;52,07;97,7;0,708;15,31;193050,7001;162303,9484;65807,27
Porciúncula;3304102;porciunculense;LEONARDO PAES BARRETO COUTINHO;291,847;18847;58,8;99,1;0,697;18,69;76753,24877;70690,16281;18302,93
Porto Real;3304110;porto realense;AILTON BASILIO MARQUES;50,892;19683;326,95;98,9;0,713;11,28;150221,33;142407,0496;151721,49
Quatis;3304128;quatiense;RAIMUNDO DE SOUZA;284,826;14302;44,72;97,6;0,69;7,19;65127,00292;52943,46404;18525,61
Queimados;3304144;queimadense;CARLOS DE FRANÇA VILELA;75,927;150319;1822,6;95,7;0,68;19,07;310553,3924;288190,1534;25476,94
Quissamã;3304151;quissamaense;MARIA DE FÁTIMA PACHECO;719,643;24700;28,4;98,5;0,704;15,72;205808,9787;168278,2632;61342,41
Resende;3304201;resendense;DIOGO GONÇALVES BALIEIRO DINIZ;1099,336;131341;109,35;97;0,768;13,64;540030,0934;417280,4297;60915,1
Rio Bonito;3304300;rio-bonitense;JOSÉ LUIZ ALVES ANTUNES;459,458;60201;121,7;97,2;0,71;16,69;173570,3747;188480,1231;27465,65
Rio Claro;3304409;rio-clarense;JOSÉ OSMAR DE ALMEIDA;846,797;18529;20,81;97,7;0,683;10,64;96894,79133;81520,87468;19285,26
